office,district,town,ward,precinct,name,party,votes
US House,1,Charlton,-,3,Total Votes Cast,Total Votes Cast,1496
US House,1,Charlton,-,3,Richard E. Neal,Democratic,1014
US House,1,Charlton,-,3,Blanks,Blanks,427
US House,1,Charlton,-,3,All Others,All Others,55
US House,1,Charlton,-,4,Total Votes Cast,Total Votes Cast,1402
US House,1,Charlton,-,4,Richard E. Neal,Democratic,932
US House,1,Charlton,-,4,Blanks,Blanks,428
US House,1,Charlton,-,4,All Others,All Others,42
US House,1,Cheshire,-,1,Total Votes Cast,Total Votes Cast,1512
US House,1,Cheshire,-,1,Richard E. Neal,Democratic,1152
US House,1,Cheshire,-,1,Blanks,Blanks,327
US House,1,Cheshire,-,1,All Others,All Others,33
US House,1,Chester,-,1,Total Votes Cast,Total Votes Cast,575
US House,1,Chester,-,1,Richard E. Neal,Democratic,397
US House,1,Chester,-,1,Blanks,Blanks,174
US House,1,Chester,-,1,All Others,All Others,4
US House,1,Chesterfield,-,1,Total Votes Cast,Total Votes Cast,657
US House,1,Chesterfield,-,1,Richard E. Neal,Democratic,508
US House,1,Chesterfield,-,1,Blanks,Blanks,148
US House,1,Chesterfield,-,1,All Others,All Others,1
US House,1,Chicopee,1,A,Total Votes Cast,Total Votes Cast,1095
US House,1,Chicopee,1,A,Richard E. Neal,Democratic,842
US House,1,Chicopee,1,A,Blanks,Blanks,206
US House,1,Chicopee,1,A,All Others,All Others,47
US House,1,Chicopee,1,B,Total Votes Cast,Total Votes Cast,1406
US House,1,Chicopee,1,B,Richard E. Neal,Democratic,1110
US House,1,Chicopee,1,B,Blanks,Blanks,250
US House,1,Chicopee,1,B,All Others,All Others,46
US House,1,Chicopee,2,A,Total Votes Cast,Total Votes Cast,717
US House,1,Chicopee,2,A,Richard E. Neal,Democratic,611
US House,1,Chicopee,2,A,Blanks,Blanks,89
US House,1,Chicopee,2,A,All Others,All Others,17
US House,1,Chicopee,2,B,Total Votes Cast,Total Votes Cast,1171
US House,1,Chicopee,2,B,Richard E. Neal,Democratic,917
US House,1,Chicopee,2,B,Blanks,Blanks,217
US House,1,Chicopee,2,B,All Others,All Others,37
US House,1,Chicopee,3,A,Total Votes Cast,Total Votes Cast,917
US House,1,Chicopee,3,A,Richard E. Neal,Democratic,723
US House,1,Chicopee,3,A,Blanks,Blanks,170
US House,1,Chicopee,3,A,All Others,All Others,24
US House,1,Chicopee,3,B,Total Votes Cast,Total Votes Cast,754
US House,1,Chicopee,3,B,Richard E. Neal,Democratic,613
US House,1,Chicopee,3,B,Blanks,Blanks,112
US House,1,Chicopee,3,B,All Others,All Others,29
US House,1,Chicopee,4,A,Total Votes Cast,Total Votes Cast,939
US House,1,Chicopee,4,A,Richard E. Neal,Democratic,748
US House,1,Chicopee,4,A,Blanks,Blanks,164
US House,1,Chicopee,4,A,All Others,All Others,27
US House,1,Chicopee,4,B,Total Votes Cast,Total Votes Cast,918
US House,1,Chicopee,4,B,Richard E. Neal,Democratic,721
US House,1,Chicopee,4,B,Blanks,Blanks,176
US House,1,Chicopee,4,B,All Others,All Others,21
US House,1,Chicopee,5,A,Total Votes Cast,Total Votes Cast,1025
US House,1,Chicopee,5,A,Richard E. Neal,Democratic,822
US House,1,Chicopee,5,A,Blanks,Blanks,176
US House,1,Chicopee,5,A,All Others,All Others,27
US House,1,Chicopee,5,B,Total Votes Cast,Total Votes Cast,988
US House,1,Chicopee,5,B,Richard E. Neal,Democratic,797
US House,1,Chicopee,5,B,Blanks,Blanks,153
US House,1,Chicopee,5,B,All Others,All Others,38
US House,1,Chicopee,6,AN,Total Votes Cast,Total Votes Cast,301
US House,1,Chicopee,6,AN,Richard E. Neal,Democratic,244
US House,1,Chicopee,6,AN,Blanks,Blanks,45
US House,1,Chicopee,6,AN,All Others,All Others,12
US House,1,Chicopee,6,AS,Total Votes Cast,Total Votes Cast,669
US House,1,Chicopee,6,AS,Richard E. Neal,Democratic,511
US House,1,Chicopee,6,AS,Blanks,Blanks,136
US House,1,Chicopee,6,AS,All Others,All Others,22
US House,1,Chicopee,6,BE,Total Votes Cast,Total Votes Cast,1162
US House,1,Chicopee,6,BE,Richard E. Neal,Democratic,852
US House,1,Chicopee,6,BE,Blanks,Blanks,254
US House,1,Chicopee,6,BE,All Others,All Others,56
US House,1,Chicopee,6,BW,Total Votes Cast,Total Votes Cast,243
US House,1,Chicopee,6,BW,Richard E. Neal,Democratic,184
US House,1,Chicopee,6,BW,Blanks,Blanks,51
US House,1,Chicopee,6,BW,All Others,All Others,8
US House,1,Chicopee,7,A,Total Votes Cast,Total Votes Cast,718
US House,1,Chicopee,7,A,Richard E. Neal,Democratic,586
US House,1,Chicopee,7,A,Blanks,Blanks,109
US House,1,Chicopee,7,A,All Others,All Others,23
US House,1,Chicopee,7,B,Total Votes Cast,Total Votes Cast,820
US House,1,Chicopee,7,B,Richard E. Neal,Democratic,675
US House,1,Chicopee,7,B,Blanks,Blanks,118
US House,1,Chicopee,7,B,All Others,All Others,27
US House,1,Chicopee,8,A,Total Votes Cast,Total Votes Cast,1138
US House,1,Chicopee,8,A,Richard E. Neal,Democratic,871
US House,1,Chicopee,8,A,Blanks,Blanks,226
US House,1,Chicopee,8,A,All Others,All Others,41
US House,1,Chicopee,8,B,Total Votes Cast,Total Votes Cast,986
US House,1,Chicopee,8,B,Richard E. Neal,Democratic,773
US House,1,Chicopee,8,B,Blanks,Blanks,183
US House,1,Chicopee,8,B,All Others,All Others,30
US House,1,Chicopee,9,A,Total Votes Cast,Total Votes Cast,1056
US House,1,Chicopee,9,A,Richard E. Neal,Democratic,825
US House,1,Chicopee,9,A,Blanks,Blanks,197
US House,1,Chicopee,9,A,All Others,All Others,34
US House,1,Chicopee,9,B,Total Votes Cast,Total Votes Cast,1422
US House,1,Chicopee,9,B,Richard E. Neal,Democratic,1116
US House,1,Chicopee,9,B,Blanks,Blanks,256
US House,1,Chicopee,9,B,All Others,All Others,50
US House,1,Clarksburg,-,1,Total Votes Cast,Total Votes Cast,715
US House,1,Clarksburg,-,1,Richard E. Neal,Democratic,572
US House,1,Clarksburg,-,1,Blanks,Blanks,140
US House,1,Clarksburg,-,1,All Others,All Others,3
US House,1,Colrain,-,1,Total Votes Cast,Total Votes Cast,752
US House,1,Colrain,-,1,Richard E. Neal,Democratic,603
US House,1,Colrain,-,1,Blanks,Blanks,149
US House,1,Colrain,-,1,All Others,All Others,0
US House,1,Conway,-,1,Total Votes Cast,Total Votes Cast,1116
US House,1,Conway,-,1,Richard E. Neal,Democratic,928
US House,1,Conway,-,1,Blanks,Blanks,184
US House,1,Conway,-,1,All Others,All Others,4
US House,1,Cummington,-,1,Total Votes Cast,Total Votes Cast,485
US House,1,Cummington,-,1,Richard E. Neal,Democratic,388
US House,1,Cummington,-,1,Blanks,Blanks,91
US House,1,Cummington,-,1,All Others,All Others,6
US House,1,Dalton,-,1,Total Votes Cast,Total Votes Cast,1477
US House,1,Dalton,-,1,Richard E. Neal,Democratic,1168
US House,1,Dalton,-,1,Blanks,Blanks,294
US House,1,Dalton,-,1,All Others,All Others,15
US House,1,Dalton,-,2,Total Votes Cast,Total Votes Cast,1459
US House,1,Dalton,-,2,Richard E. Neal,Democratic,1181
US House,1,Dalton,-,2,Blanks,Blanks,261
US House,1,Dalton,-,2,All Others,All Others,17
US House,1,Dudley,-,1,Total Votes Cast,Total Votes Cast,1699
US House,1,Dudley,-,1,Richard E. Neal,Democratic,1207
US House,1,Dudley,-,1,Blanks,Blanks,473
US House,1,Dudley,-,1,All Others,All Others,19
US House,1,Dudley,-,2,Total Votes Cast,Total Votes Cast,1362
US House,1,Dudley,-,2,Richard E. Neal,Democratic,923
US House,1,Dudley,-,2,Blanks,Blanks,422
US House,1,Dudley,-,2,All Others,All Others,17
US House,1,Dudley,-,3,Total Votes Cast,Total Votes Cast,1253
US House,1,Dudley,-,3,Richard E. Neal,Democratic,862
US House,1,Dudley,-,3,Blanks,Blanks,376
US House,1,Dudley,-,3,All Others,All Others,15
US House,1,E. Brookfield,-,1,Total Votes Cast,Total Votes Cast,1033
US House,1,E. Brookfield,-,1,Richard E. Neal,Democratic,713
US House,1,E. Brookfield,-,1,Blanks,Blanks,314
US House,1,E. Brookfield,-,1,All Others,All Others,6
US House,1,E. Longmeadow,-,1,Total Votes Cast,Total Votes Cast,1889
US House,1,E. Longmeadow,-,1,Richard E. Neal,Democratic,1364
US House,1,E. Longmeadow,-,1,Blanks,Blanks,459
US House,1,E. Longmeadow,-,1,All Others,All Others,66
US House,1,E. Longmeadow,-,2,Total Votes Cast,Total Votes Cast,1764
US House,1,E. Longmeadow,-,2,Richard E. Neal,Democratic,1291
US House,1,E. Longmeadow,-,2,Blanks,Blanks,418
US House,1,E. Longmeadow,-,2,All Others,All Others,55
US House,1,E. Longmeadow,-,3,Total Votes Cast,Total Votes Cast,1910
US House,1,E. Longmeadow,-,3,Richard E. Neal,Democratic,1392
US House,1,E. Longmeadow,-,3,Blanks,Blanks,450
US House,1,E. Longmeadow,-,3,All Others,All Others,68
US House,1,E. Longmeadow,-,4,Total Votes Cast,Total Votes Cast,2014
US House,1,E. Longmeadow,-,4,Richard E. Neal,Democratic,1347
US House,1,E. Longmeadow,-,4,Blanks,Blanks,584
US House,1,E. Longmeadow,-,4,All Others,All Others,83
US House,1,Easthampton,-,1,Total Votes Cast,Total Votes Cast,1574
US House,1,Easthampton,-,1,Richard E. Neal,Democratic,1276
US House,1,Easthampton,-,1,Blanks,Blanks,283
US House,1,Easthampton,-,1,All Others,All Others,15
US House,1,Easthampton,-,2,Total Votes Cast,Total Votes Cast,1751
US House,1,Easthampton,-,2,Richard E. Neal,Democratic,1484
US House,1,Easthampton,-,2,Blanks,Blanks,253
US House,1,Easthampton,-,2,All Others,All Others,14
US House,1,Easthampton,-,3,Total Votes Cast,Total Votes Cast,1587
US House,1,Easthampton,-,3,Richard E. Neal,Democratic,1317
US House,1,Easthampton,-,3,Blanks,Blanks,247
US House,1,Easthampton,-,3,All Others,All Others,23
US House,1,Easthampton,-,4,Total Votes Cast,Total Votes Cast,1891
US House,1,Easthampton,-,4,Richard E. Neal,Democratic,1580
US House,1,Easthampton,-,4,Blanks,Blanks,289
US House,1,Easthampton,-,4,All Others,All Others,22
US House,1,Easthampton,-,5,Total Votes Cast,Total Votes Cast,1804
US House,1,Easthampton,-,5,Richard E. Neal,Democratic,1394
US House,1,Easthampton,-,5,Blanks,Blanks,394
US House,1,Easthampton,-,5,All Others,All Others,16
US House,1,Egremont,-,1,Total Votes Cast,Total Votes Cast,793
US House,1,Egremont,-,1,Richard E. Neal,Democratic,677
US House,1,Egremont,-,1,Blanks,Blanks,115
US House,1,Egremont,-,1,All Others,All Others,1
US House,1,Florida,-,1,Total Votes Cast,Total Votes Cast,325
US House,1,Florida,-,1,Richard E. Neal,Democratic,223
US House,1,Florida,-,1,Blanks,Blanks,102
US House,1,Florida,-,1,All Others,All Others,0
US House,1,Goshen,-,1,Total Votes Cast,Total Votes Cast,549
US House,1,Goshen,-,1,Richard E. Neal,Democratic,432
US House,1,Goshen,-,1,Blanks,Blanks,114
US House,1,Goshen,-,1,All Others,All Others,3
US House,1,Granby,-,1,Total Votes Cast,Total Votes Cast,1658
US House,1,Granby,-,1,Richard E. Neal,Democratic,1233
US House,1,Granby,-,1,Blanks,Blanks,423
US House,1,Granby,-,1,All Others,All Others,2
US House,1,Granby,-,2,Total Votes Cast,Total Votes Cast,1431
US House,1,Granby,-,2,Richard E. Neal,Democratic,993
