office,district,town,ward,precinct,name,party,votes
US House,5,Malden,5,1,Total Votes Cast,Total Votes Cast,1068
US House,5,Malden,5,1,Katherine M. Clark,Democratic,845
US House,5,Malden,5,1,John Hugo,Republican,186
US House,5,Malden,5,1,Blanks,Blanks,37
US House,5,Malden,5,1,All Others,All Others,0
US House,5,Malden,5,2,Total Votes Cast,Total Votes Cast,1564
US House,5,Malden,5,2,Katherine M. Clark,Democratic,1144
US House,5,Malden,5,2,John Hugo,Republican,360
US House,5,Malden,5,2,Blanks,Blanks,59
US House,5,Malden,5,2,All Others,All Others,1
US House,5,Malden,6,1,Total Votes Cast,Total Votes Cast,1277
US House,5,Malden,6,1,Katherine M. Clark,Democratic,945
US House,5,Malden,6,1,John Hugo,Republican,288
US House,5,Malden,6,1,Blanks,Blanks,42
US House,5,Malden,6,1,All Others,All Others,2
US House,5,Malden,6,2,Total Votes Cast,Total Votes Cast,1174
US House,5,Malden,6,2,Katherine M. Clark,Democratic,867
US House,5,Malden,6,2,John Hugo,Republican,261
US House,5,Malden,6,2,Blanks,Blanks,45
US House,5,Malden,6,2,All Others,All Others,1
US House,5,Malden,7,1,Total Votes Cast,Total Votes Cast,897
US House,5,Malden,7,1,Katherine M. Clark,Democratic,739
US House,5,Malden,7,1,John Hugo,Republican,119
US House,5,Malden,7,1,Blanks,Blanks,38
US House,5,Malden,7,1,All Others,All Others,1
US House,5,Malden,7,2,Total Votes Cast,Total Votes Cast,970
US House,5,Malden,7,2,Katherine M. Clark,Democratic,735
US House,5,Malden,7,2,John Hugo,Republican,185
US House,5,Malden,7,2,Blanks,Blanks,49
US House,5,Malden,7,2,All Others,All Others,1
US House,5,Malden,8,1,Total Votes Cast,Total Votes Cast,1177
US House,5,Malden,8,1,Katherine M. Clark,Democratic,855
US House,5,Malden,8,1,John Hugo,Republican,275
US House,5,Malden,8,1,Blanks,Blanks,47
US House,5,Malden,8,1,All Others,All Others,0
US House,5,Malden,8,2,Total Votes Cast,Total Votes Cast,1091
US House,5,Malden,8,2,Katherine M. Clark,Democratic,803
US House,5,Malden,8,2,John Hugo,Republican,256
US House,5,Malden,8,2,Blanks,Blanks,32
US House,5,Malden,8,2,All Others,All Others,0
US House,5,Medford,1,1,Total Votes Cast,Total Votes Cast,1481
US House,5,Medford,1,1,Katherine M. Clark,Democratic,1116
US House,5,Medford,1,1,John Hugo,Republican,307
US House,5,Medford,1,1,Blanks,Blanks,58
US House,5,Medford,1,1,All Others,All Others,0
US House,5,Medford,1,2,Total Votes Cast,Total Votes Cast,1560
US House,5,Medford,1,2,Katherine M. Clark,Democratic,1153
US House,5,Medford,1,2,John Hugo,Republican,342
US House,5,Medford,1,2,Blanks,Blanks,62
US House,5,Medford,1,2,All Others,All Others,3
US House,5,Medford,2,1,Total Votes Cast,Total Votes Cast,1612
US House,5,Medford,2,1,Katherine M. Clark,Democratic,1109
US House,5,Medford,2,1,John Hugo,Republican,429
US House,5,Medford,2,1,Blanks,Blanks,68
US House,5,Medford,2,1,All Others,All Others,6
US House,5,Medford,2,2,Total Votes Cast,Total Votes Cast,1830
US House,5,Medford,2,2,Katherine M. Clark,Democratic,1235
US House,5,Medford,2,2,John Hugo,Republican,520
US House,5,Medford,2,2,Blanks,Blanks,74
US House,5,Medford,2,2,All Others,All Others,1
US House,5,Medford,3,1,Total Votes Cast,Total Votes Cast,1821
US House,5,Medford,3,1,Katherine M. Clark,Democratic,1260
US House,5,Medford,3,1,John Hugo,Republican,462
US House,5,Medford,3,1,Blanks,Blanks,97
US House,5,Medford,3,1,All Others,All Others,2
US House,5,Medford,3,2,Total Votes Cast,Total Votes Cast,1958
US House,5,Medford,3,2,Katherine M. Clark,Democratic,1329
US House,5,Medford,3,2,John Hugo,Republican,555
US House,5,Medford,3,2,Blanks,Blanks,73
US House,5,Medford,3,2,All Others,All Others,1
US House,5,Medford,4,1,Total Votes Cast,Total Votes Cast,977
US House,5,Medford,4,1,Katherine M. Clark,Democratic,840
US House,5,Medford,4,1,John Hugo,Republican,119
US House,5,Medford,4,1,Blanks,Blanks,16
US House,5,Medford,4,1,All Others,All Others,2
US House,5,Medford,4,2,Total Votes Cast,Total Votes Cast,1817
US House,5,Medford,4,2,Katherine M. Clark,Democratic,1444
US House,5,Medford,4,2,John Hugo,Republican,295
US House,5,Medford,4,2,Blanks,Blanks,75
US House,5,Medford,4,2,All Others,All Others,3
US House,5,Medford,5,1,Total Votes Cast,Total Votes Cast,1705
US House,5,Medford,5,1,Katherine M. Clark,Democratic,1389
US House,5,Medford,5,1,John Hugo,Republican,252
US House,5,Medford,5,1,Blanks,Blanks,61
US House,5,Medford,5,1,All Others,All Others,3
US House,5,Medford,5,2,Total Votes Cast,Total Votes Cast,1284
US House,5,Medford,5,2,Katherine M. Clark,Democratic,1080
US House,5,Medford,5,2,John Hugo,Republican,163
US House,5,Medford,5,2,Blanks,Blanks,39
US House,5,Medford,5,2,All Others,All Others,2
US House,5,Medford,6,1,Total Votes Cast,Total Votes Cast,2033
US House,5,Medford,6,1,Katherine M. Clark,Democratic,1689
US House,5,Medford,6,1,John Hugo,Republican,272
US House,5,Medford,6,1,Blanks,Blanks,70
US House,5,Medford,6,1,All Others,All Others,2
US House,5,Medford,6,2,Total Votes Cast,Total Votes Cast,1760
US House,5,Medford,6,2,Katherine M. Clark,Democratic,1323
US House,5,Medford,6,2,John Hugo,Republican,367
US House,5,Medford,6,2,Blanks,Blanks,69
US House,5,Medford,6,2,All Others,All Others,1
US House,5,Medford,7,1,Total Votes Cast,Total Votes Cast,984
US House,5,Medford,7,1,Katherine M. Clark,Democratic,774
US House,5,Medford,7,1,John Hugo,Republican,175
US House,5,Medford,7,1,Blanks,Blanks,35
US House,5,Medford,7,1,All Others,All Others,0
US House,5,Medford,7,2,Total Votes Cast,Total Votes Cast,1485
US House,5,Medford,7,2,Katherine M. Clark,Democratic,1151
US House,5,Medford,7,2,John Hugo,Republican,271
US House,5,Medford,7,2,Blanks,Blanks,62
US House,5,Medford,7,2,All Others,All Others,1
US House,5,Medford,8,1,Total Votes Cast,Total Votes Cast,1780
US House,5,Medford,8,1,Katherine M. Clark,Democratic,1333
US House,5,Medford,8,1,John Hugo,Republican,382
US House,5,Medford,8,1,Blanks,Blanks,64
US House,5,Medford,8,1,All Others,All Others,1
US House,5,Medford,8,2,Total Votes Cast,Total Votes Cast,1504
US House,5,Medford,8,2,Katherine M. Clark,Democratic,1132
US House,5,Medford,8,2,John Hugo,Republican,305
US House,5,Medford,8,2,Blanks,Blanks,67
US House,5,Medford,8,2,All Others,All Others,0
US House,5,Melrose,1,1,Total Votes Cast,Total Votes Cast,1108
US House,5,Melrose,1,1,Katherine M. Clark,Democratic,826
US House,5,Melrose,1,1,John Hugo,Republican,251
US House,5,Melrose,1,1,Blanks,Blanks,30
US House,5,Melrose,1,1,All Others,All Others,1
US House,5,Melrose,1,2,Total Votes Cast,Total Votes Cast,1062
US House,5,Melrose,1,2,Katherine M. Clark,Democratic,807
US House,5,Melrose,1,2,John Hugo,Republican,226
US House,5,Melrose,1,2,Blanks,Blanks,29
US House,5,Melrose,1,2,All Others,All Others,0
US House,5,Melrose,2,1,Total Votes Cast,Total Votes Cast,1176
US House,5,Melrose,2,1,Katherine M. Clark,Democratic,798
US House,5,Melrose,2,1,John Hugo,Republican,340
US House,5,Melrose,2,1,Blanks,Blanks,37
US House,5,Melrose,2,1,All Others,All Others,1
US House,5,Melrose,2,2,Total Votes Cast,Total Votes Cast,1022
US House,5,Melrose,2,2,Katherine M. Clark,Democratic,724
US House,5,Melrose,2,2,John Hugo,Republican,261
US House,5,Melrose,2,2,Blanks,Blanks,36
US House,5,Melrose,2,2,All Others,All Others,1
US House,5,Melrose,3,1,Total Votes Cast,Total Votes Cast,1032
US House,5,Melrose,3,1,Katherine M. Clark,Democratic,795
US House,5,Melrose,3,1,John Hugo,Republican,218
US House,5,Melrose,3,1,Blanks,Blanks,17
US House,5,Melrose,3,1,All Others,All Others,2
US House,5,Melrose,3,2,Total Votes Cast,Total Votes Cast,968
US House,5,Melrose,3,2,Katherine M. Clark,Democratic,703
US House,5,Melrose,3,2,John Hugo,Republican,238
US House,5,Melrose,3,2,Blanks,Blanks,26
US House,5,Melrose,3,2,All Others,All Others,1
US House,5,Melrose,4,1,Total Votes Cast,Total Votes Cast,970
US House,5,Melrose,4,1,Katherine M. Clark,Democratic,699
US House,5,Melrose,4,1,John Hugo,Republican,246
US House,5,Melrose,4,1,Blanks,Blanks,24
US House,5,Melrose,4,1,All Others,All Others,1
US House,5,Melrose,4,2,Total Votes Cast,Total Votes Cast,1186
US House,5,Melrose,4,2,Katherine M. Clark,Democratic,732
US House,5,Melrose,4,2,John Hugo,Republican,423
US House,5,Melrose,4,2,Blanks,Blanks,31
US House,5,Melrose,4,2,All Others,All Others,0
US House,5,Melrose,5,1,Total Votes Cast,Total Votes Cast,1083
US House,5,Melrose,5,1,Katherine M. Clark,Democratic,845
US House,5,Melrose,5,1,John Hugo,Republican,216
US House,5,Melrose,5,1,Blanks,Blanks,21
US House,5,Melrose,5,1,All Others,All Others,1
US House,5,Melrose,5,2,Total Votes Cast,Total Votes Cast,962
US House,5,Melrose,5,2,Katherine M. Clark,Democratic,719
US House,5,Melrose,5,2,John Hugo,Republican,219
US House,5,Melrose,5,2,Blanks,Blanks,23
US House,5,Melrose,5,2,All Others,All Others,1
US House,5,Melrose,6,1,Total Votes Cast,Total Votes Cast,935
US House,5,Melrose,6,1,Katherine M. Clark,Democratic,711
US House,5,Melrose,6,1,John Hugo,Republican,209
US House,5,Melrose,6,1,Blanks,Blanks,15
US House,5,Melrose,6,1,All Others,All Others,0
US House,5,Melrose,6,2,Total Votes Cast,Total Votes Cast,1100
US House,5,Melrose,6,2,Katherine M. Clark,Democratic,761
US House,5,Melrose,6,2,John Hugo,Republican,306
US House,5,Melrose,6,2,Blanks,Blanks,33
US House,5,Melrose,6,2,All Others,All Others,0
US House,5,Melrose,7,1,Total Votes Cast,Total Votes Cast,1005
US House,5,Melrose,7,1,Katherine M. Clark,Democratic,735
US House,5,Melrose,7,1,John Hugo,Republican,236
US House,5,Melrose,7,1,Blanks,Blanks,33
US House,5,Melrose,7,1,All Others,All Others,1
US House,5,Melrose,7,2,Total Votes Cast,Total Votes Cast,1088
US House,5,Melrose,7,2,Katherine M. Clark,Democratic,765
US House,5,Melrose,7,2,John Hugo,Republican,297
US House,5,Melrose,7,2,Blanks,Blanks,26
US House,5,Melrose,7,2,All Others,All Others,0
US House,5,Natick,-,1,Total Votes Cast,Total Votes Cast,1064
US House,5,Natick,-,1,Katherine M. Clark,Democratic,814
US House,5,Natick,-,1,John Hugo,Republican,217
US House,5,Natick,-,1,Blanks,Blanks,33
US House,5,Natick,-,1,All Others,All Others,0
US House,5,Natick,-,10,Total Votes Cast,Total Votes Cast,2152
US House,5,Natick,-,10,Katherine M. Clark,Democratic,1497
US House,5,Natick,-,10,John Hugo,Republican,548
US House,5,Natick,-,10,Blanks,Blanks,106
US House,5,Natick,-,10,All Others,All Others,1
US House,5,Natick,-,2,Total Votes Cast,Total Votes Cast,1841
US House,5,Natick,-,2,Katherine M. Clark,Democratic,1300
US House,5,Natick,-,2,John Hugo,Republican,465
US House,5,Natick,-,2,Blanks,Blanks,76
US House,5,Natick,-,2,All Others,All Others,0
US House,5,Natick,-,3,Total Votes Cast,Total Votes Cast,1806
US House,5,Natick,-,3,Katherine M. Clark,Democratic,1269
US House,5,Natick,-,3,John Hugo,Republican,451
US House,5,Natick,-,3,Blanks,Blanks,86
US House,5,Natick,-,3,All Others,All Others,0
US House,5,Natick,-,4,Total Votes Cast,Total Votes Cast,1632
US House,5,Natick,-,4,Katherine M. Clark,Democratic,1190
US House,5,Natick,-,4,John Hugo,Republican,385
US House,5,Natick,-,4,Blanks,Blanks,56
US House,5,Natick,-,4,All Others,All Others,1
US House,5,Natick,-,5,Total Votes Cast,Total Votes Cast,1763
US House,5,Natick,-,5,Katherine M. Clark,Democratic,1191
US House,5,Natick,-,5,John Hugo,Republican,485
US House,5,Natick,-,5,Blanks,Blanks,87
US House,5,Natick,-,5,All Others,All Others,0
US House,5,Natick,-,6,Total Votes Cast,Total Votes Cast,1687
US House,5,Natick,-,6,Katherine M. Clark,Democratic,1199
US House,5,Natick,-,6,John Hugo,Republican,432
US House,5,Natick,-,6,Blanks,Blanks,56
US House,5,Natick,-,6,All Others,All Others,0
US House,5,Natick,-,7,Total Votes Cast,Total Votes Cast,1825
US House,5,Natick,-,7,Katherine M. Clark,Democratic,1359
US House,5,Natick,-,7,John Hugo,Republican,407
US House,5,Natick,-,7,Blanks,Blanks,58
US House,5,Natick,-,7,All Others,All Others,1
US House,5,Natick,-,8,Total Votes Cast,Total Votes Cast,1824
US House,5,Natick,-,8,Katherine M. Clark,Democratic,1305
US House,5,Natick,-,8,John Hugo,Republican,441
US House,5,Natick,-,8,Blanks,Blanks,78
US House,5,Natick,-,8,All Others,All Others,0
US House,5,Natick,-,9,Total Votes Cast,Total Votes Cast,1755
US House,5,Natick,-,9,Katherine M. Clark,Democratic,1300
US House,5,Natick,-,9,John Hugo,Republican,369
US House,5,Natick,-,9,Blanks,Blanks,86
US House,5,Natick,-,9,All Others,All Others,0
US House,5,Revere,1,1,Total Votes Cast,Total Votes Cast,857
US House,5,Revere,1,1,Katherine M. Clark,Democratic,592
US House,5,Revere,1,1,John Hugo,Republican,176
US House,5,Revere,1,1,Blanks,Blanks,89
US House,5,Revere,1,1,All Others,All Others,0
US House,5,Revere,1,2,Total Votes Cast,Total Votes Cast,770
US House,5,Revere,1,2,Katherine M. Clark,Democratic,526
US House,5,Revere,1,2,John Hugo,Republican,190
US House,5,Revere,1,2,Blanks,Blanks,53
US House,5,Revere,1,2,All Others,All Others,1
US House,5,Revere,1,3,Total Votes Cast,Total Votes Cast,718
US House,5,Revere,1,3,Katherine M. Clark,Democratic,502
US House,5,Revere,1,3,John Hugo,Republican,150
US House,5,Revere,1,3,Blanks,Blanks,65
US House,5,Revere,1,3,All Others,All Others,1
US House,5,Revere,2,1,Total Votes Cast,Total Votes Cast,566
US House,5,Revere,2,1,Katherine M. Clark,Democratic,423
US House,5,Revere,2,1,John Hugo,Republican,121
US House,5,Revere,2,1,Blanks,Blanks,22
US House,5,Revere,2,1,All Others,All Others,0
US House,5,Revere,2,2,Total Votes Cast,Total Votes Cast,655
US House,5,Revere,2,2,Katherine M. Clark,Democratic,501
US House,5,Revere,2,2,John Hugo,Republican,120
US House,5,Revere,2,2,Blanks,Blanks,33
US House,5,Revere,2,2,All Others,All Others,1
US House,5,Revere,2,3,Total Votes Cast,Total Votes Cast,257
US House,5,Revere,2,3,Katherine M. Clark,Democratic,209
US House,5,Revere,2,3,John Hugo,Republican,33
US House,5,Revere,2,3,Blanks,Blanks,15
US House,5,Revere,2,3,All Others,All Others,0
US House,5,Revere,2,3A,Total Votes Cast,Total Votes Cast,111
US House,5,Revere,2,3A,Katherine M. Clark,Democratic,77
US House,5,Revere,2,3A,John Hugo,Republican,26
US House,5,Revere,2,3A,Blanks,Blanks,8
US House,5,Revere,2,3A,All Others,All Others,0
US House,5,Revere,3,1,Total Votes Cast,Total Votes Cast,770
US House,5,Revere,3,1,Katherine M. Clark,Democratic,489
US House,5,Revere,3,1,John Hugo,Republican,204
US House,5,Revere,3,1,Blanks,Blanks,75
US House,5,Revere,3,1,All Others,All Others,2
US House,5,Revere,3,2,Total Votes Cast,Total Votes Cast,729
US House,5,Revere,3,2,Katherine M. Clark,Democratic,480
US House,5,Revere,3,2,John Hugo,Republican,187
US House,5,Revere,3,2,Blanks,Blanks,62
US House,5,Revere,3,2,All Others,All Others,0
US House,5,Revere,3,3,Total Votes Cast,Total Votes Cast,709
US House,5,Revere,3,3,Katherine M. Clark,Democratic,468
US House,5,Revere,3,3,John Hugo,Republican,181
US House,5,Revere,3,3,Blanks,Blanks,60
US House,5,Revere,3,3,All Others,All Others,0
US House,5,Revere,4,1,Total Votes Cast,Total Votes Cast,797
US House,5,Revere,4,1,Katherine M. Clark,Democratic,484
US House,5,Revere,4,1,John Hugo,Republican,237
US House,5,Revere,4,1,Blanks,Blanks,74
US House,5,Revere,4,1,All Others,All Others,2
US House,5,Revere,4,2,Total Votes Cast,Total Votes Cast,706
US House,5,Revere,4,2,Katherine M. Clark,Democratic,415
US House,5,Revere,4,2,John Hugo,Republican,220
US House,5,Revere,4,2,Blanks,Blanks,71
US House,5,Revere,4,2,All Others,All Others,0
US House,5,Revere,4,3,Total Votes Cast,Total Votes Cast,881
US House,5,Revere,4,3,Katherine M. Clark,Democratic,547
US House,5,Revere,4,3,John Hugo,Republican,256
US House,5,Revere,4,3,Blanks,Blanks,77
US House,5,Revere,4,3,All Others,All Others,1
US House,5,Revere,5,1,Total Votes Cast,Total Votes Cast,744
US House,5,Revere,5,1,Katherine M. Clark,Democratic,442
US House,5,Revere,5,1,John Hugo,Republican,250
US House,5,Revere,5,1,Blanks,Blanks,52
US House,5,Revere,5,1,All Others,All Others,0
US House,5,Revere,5,1A,Total Votes Cast,Total Votes Cast,555
US House,5,Revere,5,1A,Katherine M. Clark,Democratic,374
US House,5,Revere,5,1A,John Hugo,Republican,138
US House,5,Revere,5,1A,Blanks,Blanks,42
US House,5,Revere,5,1A,All Others,All Others,1
US House,5,Revere,5,2,Total Votes Cast,Total Votes Cast,430
US House,5,Revere,5,2,Katherine M. Clark,Democratic,257
US House,5,Revere,5,2,John Hugo,Republican,143
US House,5,Revere,5,2,Blanks,Blanks,30
US House,5,Revere,5,2,All Others,All Others,0
US House,5,Revere,5,2A,Total Votes Cast,Total Votes Cast,301
US House,5,Revere,5,2A,Katherine M. Clark,Democratic,221
US House,5,Revere,5,2A,John Hugo,Republican,55
US House,5,Revere,5,2A,Blanks,Blanks,25
US House,5,Revere,5,2A,All Others,All Others,0
US House,5,Revere,5,3,Total Votes Cast,Total Votes Cast,812
US House,5,Revere,5,3,Katherine M. Clark,Democratic,528
US House,5,Revere,5,3,John Hugo,Republican,230
US House,5,Revere,5,3,Blanks,Blanks,53
US House,5,Revere,5,3,All Others,All Others,1
US House,5,Revere,6,1,Total Votes Cast,Total Votes Cast,984
US House,5,Revere,6,1,Katherine M. Clark,Democratic,508
US House,5,Revere,6,1,John Hugo,Republican,387
US House,5,Revere,6,1,Blanks,Blanks,89
US House,5,Revere,6,1,All Others,All Others,0
US House,5,Revere,6,2,Total Votes Cast,Total Votes Cast,1029
US House,5,Revere,6,2,Katherine M. Clark,Democratic,539
US House,5,Revere,6,2,John Hugo,Republican,381
US House,5,Revere,6,2,Blanks,Blanks,108
US House,5,Revere,6,2,All Others,All Others,1
US House,5,Revere,6,3,Total Votes Cast,Total Votes Cast,660
US House,5,Revere,6,3,Katherine M. Clark,Democratic,461
US House,5,Revere,6,3,John Hugo,Republican,160
US House,5,Revere,6,3,Blanks,Blanks,39
US House,5,Revere,6,3,All Others,All Others,0
US House,5,Sherborn,-,1,Total Votes Cast,Total Votes Cast,2412
US House,5,Sherborn,-,1,Katherine M. Clark,Democratic,1667
US House,5,Sherborn,-,1,John Hugo,Republican,654
US House,5,Sherborn,-,1,Blanks,Blanks,91
US House,5,Sherborn,-,1,All Others,All Others,0
US House,5,Southborough,-,1,Total Votes Cast,Total Votes Cast,1790
US House,5,Southborough,-,1,Katherine M. Clark,Democratic,1130
US House,5,Southborough,-,1,John Hugo,Republican,596
US House,5,Southborough,-,1,Blanks,Blanks,63
US House,5,Southborough,-,1,All Others,All Others,1
US House,5,Southborough,-,2,Total Votes Cast,Total Votes Cast,1659
US House,5,Southborough,-,2,Katherine M. Clark,Democratic,1043
US House,5,Southborough,-,2,John Hugo,Republican,563
US House,5,Southborough,-,2,Blanks,Blanks,52
US House,5,Southborough,-,2,All Others,All Others,1
US House,5,Southborough,-,3,Total Votes Cast,Total Votes Cast,1730
US House,5,Southborough,-,3,Katherine M. Clark,Democratic,1099
US House,5,Southborough,-,3,John Hugo,Republican,580
US House,5,Southborough,-,3,Blanks,Blanks,50
US House,5,Southborough,-,3,All Others,All Others,1
US House,5,Stoneham,-,1,Total Votes Cast,Total Votes Cast,1490
US House,5,Stoneham,-,1,Katherine M. Clark,Democratic,970
US House,5,Stoneham,-,1,John Hugo,Republican,463
US House,5,Stoneham,-,1,Blanks,Blanks,57
US House,5,Stoneham,-,1,All Others,All Others,0
US House,5,Stoneham,-,2,Total Votes Cast,Total Votes Cast,1667
US House,5,Stoneham,-,2,Katherine M. Clark,Democratic,1106
US House,5,Stoneham,-,2,John Hugo,Republican,497
US House,5,Stoneham,-,2,Blanks,Blanks,64
US House,5,Stoneham,-,2,All Others,All Others,0
US House,5,Stoneham,-,3,Total Votes Cast,Total Votes Cast,1836
US House,5,Stoneham,-,3,Katherine M. Clark,Democratic,1101
US House,5,Stoneham,-,3,John Hugo,Republican,639
US House,5,Stoneham,-,3,Blanks,Blanks,96
US House,5,Stoneham,-,3,All Others,All Others,0
US House,5,Stoneham,-,4,Total Votes Cast,Total Votes Cast,1441
US House,5,Stoneham,-,4,Katherine M. Clark,Democratic,886
US House,5,Stoneham,-,4,John Hugo,Republican,500
US House,5,Stoneham,-,4,Blanks,Blanks,55
US House,5,Stoneham,-,4,All Others,All Others,0
US House,5,Stoneham,-,5,Total Votes Cast,Total Votes Cast,1577
US House,5,Stoneham,-,5,Katherine M. Clark,Democratic,916
US House,5,Stoneham,-,5,John Hugo,Republican,578
US House,5,Stoneham,-,5,Blanks,Blanks,83
US House,5,Stoneham,-,5,All Others,All Others,0
US House,5,Stoneham,-,6,Total Votes Cast,Total Votes Cast,1635
US House,5,Stoneham,-,6,Katherine M. Clark,Democratic,1015
US House,5,Stoneham,-,6,John Hugo,Republican,545
US House,5,Stoneham,-,6,Blanks,Blanks,75
US House,5,Stoneham,-,6,All Others,All Others,0
US House,5,Stoneham,-,7,Total Votes Cast,Total Votes Cast,1506
US House,5,Stoneham,-,7,Katherine M. Clark,Democratic,966
US House,5,Stoneham,-,7,John Hugo,Republican,486
US House,5,Stoneham,-,7,Blanks,Blanks,54
US House,5,Stoneham,-,7,All Others,All Others,0
US House,5,Sudbury,-,1A,Total Votes Cast,Total Votes Cast,508
US House,5,Sudbury,-,1A,Katherine M. Clark,Democratic,347
US House,5,Sudbury,-,1A,John Hugo,Republican,143
US House,5,Sudbury,-,1A,Blanks,Blanks,17
US House,5,Sudbury,-,1A,All Others,All Others,1
US House,5,Sudbury,-,2,Total Votes Cast,Total Votes Cast,1823
US House,5,Sudbury,-,2,Katherine M. Clark,Democratic,1330
US House,5,Sudbury,-,2,John Hugo,Republican,448
US House,5,Sudbury,-,2,Blanks,Blanks,44
US House,5,Sudbury,-,2,All Others,All Others,1
US House,5,Sudbury,-,3,Total Votes Cast,Total Votes Cast,2011
US House,5,Sudbury,-,3,Katherine M. Clark,Democratic,1366
US House,5,Sudbury,-,3,John Hugo,Republican,583
US House,5,Sudbury,-,3,Blanks,Blanks,61
US House,5,Sudbury,-,3,All Others,All Others,1
US House,5,Sudbury,-,4,Total Votes Cast,Total Votes Cast,1986
US House,5,Sudbury,-,4,Katherine M. Clark,Democratic,1442
US House,5,Sudbury,-,4,John Hugo,Republican,482
US House,5,Sudbury,-,4,Blanks,Blanks,60
US House,5,Sudbury,-,4,All Others,All Others,2
US House,5,Sudbury,-,5,Total Votes Cast,Total Votes Cast,1865
US House,5,Sudbury,-,5,Katherine M. Clark,Democratic,1293
US House,5,Sudbury,-,5,John Hugo,Republican,505
US House,5,Sudbury,-,5,Blanks,Blanks,67
US House,5,Sudbury,-,5,All Others,All Others,0
US House,5,Waltham,1,1,Total Votes Cast,Total Votes Cast,1583
US House,5,Waltham,1,1,Katherine M. Clark,Democratic,1060
US House,5,Waltham,1,1,John Hugo,Republican,443
US House,5,Waltham,1,1,Blanks,Blanks,79
US House,5,Waltham,1,1,All Others,All Others,1
US House,5,Waltham,1,2,Total Votes Cast,Total Votes Cast,1691
US House,5,Waltham,1,2,Katherine M. Clark,Democratic,1069
US House,5,Waltham,1,2,John Hugo,Republican,524
US House,5,Waltham,1,2,Blanks,Blanks,98
US House,5,Waltham,1,2,All Others,All Others,0
US House,5,Waltham,2,1,Total Votes Cast,Total Votes Cast,1597
US House,5,Waltham,2,1,Katherine M. Clark,Democratic,1095
US House,5,Waltham,2,1,John Hugo,Republican,436
US House,5,Waltham,2,1,Blanks,Blanks,64
US House,5,Waltham,2,1,All Others,All Others,2
US House,5,Waltham,2,2,Total Votes Cast,Total Votes Cast,1122
US House,5,Waltham,2,2,Katherine M. Clark,Democratic,859
US House,5,Waltham,2,2,John Hugo,Republican,235
US House,5,Waltham,2,2,Blanks,Blanks,28
US House,5,Waltham,2,2,All Others,All Others,0
US House,5,Waltham,3,1,Total Votes Cast,Total Votes Cast,1743
US House,5,Waltham,3,1,Katherine M. Clark,Democratic,1011
US House,5,Waltham,3,1,John Hugo,Republican,629
US House,5,Waltham,3,1,Blanks,Blanks,103
US House,5,Waltham,3,1,All Others,All Others,0
US House,5,Waltham,3,2,Total Votes Cast,Total Votes Cast,1584
US House,5,Waltham,3,2,Katherine M. Clark,Democratic,1039
US House,5,Waltham,3,2,John Hugo,Republican,461
US House,5,Waltham,3,2,Blanks,Blanks,82
US House,5,Waltham,3,2,All Others,All Others,2
US House,5,Waltham,4,1,Total Votes Cast,Total Votes Cast,1681
US House,5,Waltham,4,1,Katherine M. Clark,Democratic,1082
US House,5,Waltham,4,1,John Hugo,Republican,510
US House,5,Waltham,4,1,Blanks,Blanks,89
US House,5,Waltham,4,1,All Others,All Others,0
US House,5,Waltham,4,2,Total Votes Cast,Total Votes Cast,383
US House,5,Waltham,4,2,Katherine M. Clark,Democratic,255
US House,5,Waltham,4,2,John Hugo,Republican,113
US House,5,Waltham,4,2,Blanks,Blanks,15
US House,5,Waltham,4,2,All Others,All Others,0
US House,5,Waltham,5,1,Total Votes Cast,Total Votes Cast,1479
US House,5,Waltham,5,1,Katherine M. Clark,Democratic,1057
US House,5,Waltham,5,1,John Hugo,Republican,332
US House,5,Waltham,5,1,Blanks,Blanks,86
US House,5,Waltham,5,1,All Others,All Others,4
US House,5,Waltham,5,2,Total Votes Cast,Total Votes Cast,1206
US House,5,Waltham,5,2,Katherine M. Clark,Democratic,930
US House,5,Waltham,5,2,John Hugo,Republican,230
US House,5,Waltham,5,2,Blanks,Blanks,45
US House,5,Waltham,5,2,All Others,All Others,1
US House,5,Waltham,6,1,Total Votes Cast,Total Votes Cast,1316
US House,5,Waltham,6,1,Katherine M. Clark,Democratic,983
US House,5,Waltham,6,1,John Hugo,Republican,264
US House,5,Waltham,6,1,Blanks,Blanks,65
US House,5,Waltham,6,1,All Others,All Others,4
US House,5,Waltham,6,2,Total Votes Cast,Total Votes Cast,782
US House,5,Waltham,6,2,Katherine M. Clark,Democratic,575
US House,5,Waltham,6,2,John Hugo,Republican,173
US House,5,Waltham,6,2,Blanks,Blanks,32
US House,5,Waltham,6,2,All Others,All Others,2
US House,5,Waltham,7,1,Total Votes Cast,Total Votes Cast,1427
US House,5,Waltham,7,1,Katherine M. Clark,Democratic,985
US House,5,Waltham,7,1,John Hugo,Republican,373
US House,5,Waltham,7,1,Blanks,Blanks,66
US House,5,Waltham,7,1,All Others,All Others,3
US House,5,Waltham,7,2,Total Votes Cast,Total Votes Cast,492
US House,5,Waltham,7,2,Katherine M. Clark,Democratic,378
US House,5,Waltham,7,2,John Hugo,Republican,84
US House,5,Waltham,7,2,Blanks,Blanks,28
US House,5,Waltham,7,2,All Others,All Others,2
US House,5,Waltham,8,1,Total Votes Cast,Total Votes Cast,1156
US House,5,Waltham,8,1,Katherine M. Clark,Democratic,917
US House,5,Waltham,8,1,John Hugo,Republican,195
